Page,Clicks,Impressions,CTR,Position
https://www.example.com/,1850,62000,2.98%,2.8
https://www.example.com/products/erp/,1240,45000,2.76%,3.2
https://www.example.com/solutions/manufacturing/,680,28000,2.43%,6.1
https://www.example.com/blog/erp-vs-crm/,320,24000,1.33%,11.2
https://www.example.com/pricing/,290,18000,1.61%,8.4
https://www.example.com/case-studies/,210,16000,1.31%,12.7
https://www.example.com/blog/erp-implementation-guide/,180,14500,1.24%,13.8
https://www.example.com/solutions/healthcare/,140,11200,1.25%,15.3
https://www.example.com/about/,95,8400,1.13%,18.6
https://www.example.com/blog/cloud-erp-benefits/,82,7600,1.08%,19.4
